##;ENG;ENG;ENG;ENG;ENG;ENG;ENG;ENG;;;X;
PROV0;(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);;;x;
PROV1;Reykjavík;Reykjavík;Reykjavík;Reykjavík;Reykjavík;Reykjavík;Reykjavík;Reykjavík;;;X;
PROV2;Tórshavn;Tórshavn;Tórshavn;Tórshavn;Tórshavn;Tórshavn;Tórshavn;Tórshavn;;;X;
PROV3;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;;;X;
PROV4;Isafjördur;Isafjördur;Isafjördur;Isafjördur;Isafjördur;Isafjördur;Isafjördur;Isafjördur;;;X;
PROV5;Selfoss;Selfoss;Selfoss;Selfoss;Selfoss;Selfoss;Selfoss;Selfoss;;;X;
PROV6;Egilsstadir;Egilsstadir;Egilsstadir;Egilsstadir;Egilsstadir;Egilsstadir;Egilsstadir;Egilsstadir;;;X;
PROV7;Eldstemetten;Eldstemetten;Eldstemetten;Eldstemetten;Eldstemetten;Eldstemetten;Eldstemetten;Eldstemetten;;;X;
PROV8;Bre;Bre;Bre;Bre;Bre;Bre;Bre;Bre;;;X;
PROV9;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;;;X;
PROV10;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;;;X;
PROV11;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;;;X;
PROV12;Port Lairge;Port Lairge;Port Lairge;Port Lairge;Port Lairge;Port Lairge;Port Lairge;Port Lairge;;;X;
PROV13;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;;;X;
PROV14;Inis;Inis;Inis;Inis;Inis;Inis;Inis;Inis;;;X;
