##;ENG;FRA;ITA;SPA;GER;POL;;;;;X;
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);(Embarked);(Embarked);;;x;
PROV1;Reykjavík;Reykjavík;Reykjavík;Reykjavík;Reykjavík;Reykjavík;Reykjavík;Reykjavík;;;X;
PROV2;Tórshavn;Tórshavn;Tórshavn;Tórshavn;Tórshavn;Tórshavn;Tórshavn;Tórshavn;;;X;
PROV3;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;;;X;
PROV4;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;;;X;
PROV5;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;;;X;
PROV6;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;;;X;
PROV7;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;;;X;
PROV8;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;;;X;
PROV9;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;;;X;
PROV10;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;;;X;
PROV11;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;;;X;
PROV12;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;;;X;
PROV13;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;;;X;
PROV14;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;;;X;
